Giedrius;Mady
Kirsa;Vittore
Barbra;Faizel
Vittorio;Vittore
Louis;Placide
Vittorio;Barbra
Cloe;Björn
Vittore;Barbra
Mady;Rufino
Cloe;Vittorio
Vittorio;Placide
Olavi;Rufino
Vittore;Cloe
Teodor;Cloe
Louis;Cloe
Idelle;Mady
Illtyd;Giedrius
Teodor;Olavi
Vittore;Mady
Rufino;Giedrius
Placide;Louis
Louis;Vittorio
Giedrius;Glenys
Björn;Olavi
Faizel;Placide
Rufino;Illtyd
Placide;Louis
Kirsa;Vittorio
Mady;Placide
Illtyd;Olavi
Vittorio;Placide
Cloe;Mady
Rufino;Vittorio
Placide;Rufino
Rufino;Vittorio
Giedrius;Illtyd
Rufino;Teodor
Olavi;Rufino
Placide;Jakob
Cloe;Björn
Barbra;Kirsa
Idelle;Cloe
Rufino;Illtyd
Rufino;Faizel
Rufino;Louis
Björn;Cloe
Vittorio;Olavi
Vittorio;Mady
Glenys;Cloe
Björn;Idelle
Mady;Björn
Barbra;Vittorio
Louis;Björn
Mady;Vittorio
Illtyd;Olavi
Olavi;Barbra
Björn;Giedrius
Mady;Placide
Faizel;Barbra
Marwa;Idelle
Placide;Olavi
Olavi;Placide
Cain;Vittorio
Louis;Placide
Jakob;Kirsa
Barbra;Marwa
Vittorio;Louis
Idelle;Illtyd
Louis;Giedrius
Olavi;Barbra
Mady;Barbra
Barbra;Rufino
Cloe;Barbra
Louis;Björn
Cloe;Björn
Mady;Barbra
Rufino;Björn
Kirsa;Vittore
Björn;Faizel
Jakob;Kirsa
Cloe;Vittore
Vittore;Björn
Björn;Teodor
Barbra;Rufino
Louis;Rufino
Vittorio;Mady
Olavi;Teodor
Teodor;Mady
Faizel;Olavi
Björn;Cloe
Cloe;Idelle
Barbra;Louis
Barbra;Vittore
Giedrius;Vittorio
Placide;Cain
Vittore;Louis
Mady;Jakob
Barbra;Vittore
Björn;Mady
Placide;Rufino
Placide;Cloe
Vittorio;Barbra
Illtyd;Rufino
Vittore;Louis
Olavi;Louis
